Writing Sample,Score,Standard
writing_comparative_model/uploads/adminkbrown/Year 2/Y2EXS4981.png,-5.589922331067867,EXS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2WTS451.png,-17.293556034003828,WTS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2GDS554.png,17.293559019844785,GDS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2WTS436.png,-31.15445151161962,WTS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2EXS519.png,5.589924545707064,EXS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2GDS594.png,31.154455003493826,GDS
