Writing Sample,Score,Standard
writing_comparative_model/uploads/adminkbrown/Year 2/Y2WTS436.png,-12.17102999774443,WTS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2WTS451.png,-24.128021573694618,WTS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2GDS594.png,28.76791693561824,GDS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2EXS4981.png,-9.275425469486912,EXS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2GDS554.png,14.590694523295436,GDS
writing_comparative_model/uploads/adminkbrown/Year 2/Y2EXS519.png,2.2158492815173143,EXS
